"filename", "language", "JSON with Comments", "TypeScript", "JSON", "vue", "Markdown", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\catalog\tv\[id].vue", "vue", 0, 0, 0, 238, 0, 0, 0, 15, 26, 279
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\catalog\watch\[id].vue", "vue", 0, 0, 0, 216, 0, 0, 0, 5, 22, 243
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\continue.vue", "vue", 0, 0, 0, 68, 0, 0, 0, 4, 8, 80
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\downloads.vue", "vue", 0, 0, 0, 144, 0, 0, 0, 9, 19, 172
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\index.vue", "vue", 0, 0, 0, 79, 0, 0, 0, 4, 9, 92
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\login.vue", "vue", 0, 0, 0, 78, 0, 0, 0, 0, 14, 92
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\media\[id].vue", "vue", 0, 0, 0, 601, 0, 0, 0, 32, 53, 686
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\movies.vue", "vue", 0, 0, 0, 261, 0, 0, 0, 9, 27, 297
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\profile.vue", "vue", 0, 0, 0, 352, 0, 0, 0, 9, 38, 399
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\register.vue", "vue", 0, 0, 0, 89, 0, 0, 0, 0, 16, 105
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\search.vue", "vue", 0, 0, 0, 51, 0, 0, 0, 2, 7, 60
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\setup.vue", "vue", 0, 0, 0, 106, 0, 0, 0, 0, 17, 123
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\tv\[id].vue", "vue", 0, 0, 0, 233, 0, 0, 0, 21, 27, 281
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\tv\index.vue", "vue", 0, 0, 0, 130, 0, 0, 0, 9, 17, 156
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\user\[id].vue", "vue", 0, 0, 0, 171, 0, 0, 0, 7, 16, 194
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\watch\[id].vue", "vue", 0, 0, 0, 115, 0, 0, 0, 3, 17, 135
