"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "XML", "vue", "PostCSS", "comment", "blank", "total"
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\.claude\settings.local.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\README.md", "Markdown", 0, 0, 0, 50, 0, 0, 0, 0, 26, 76
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\app.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\assets\css\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 79, 10, 23, 112
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\catalog\DownloadSourceModal.vue", "vue", 0, 0, 0, 0, 0, 160, 0, 4, 15, 179
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\layout\Header.vue", "vue", 0, 0, 0, 0, 0, 340, 0, 15, 23, 378
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\layout\MobileNav.vue", "vue", 0, 0, 0, 0, 0, 105, 0, 1, 6, 112
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\layout\Sidebar.vue", "vue", 0, 0, 0, 0, 0, 254, 0, 5, 11, 270
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\media\ContinueWatchingRow.vue", "vue", 0, 0, 0, 0, 0, 102, 0, 6, 15, 123
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\media\MediaCard.vue", "vue", 0, 0, 0, 0, 0, 90, 0, 8, 13, 111
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\media\MediaGrid.vue", "vue", 0, 0, 0, 0, 0, 66, 0, 3, 7, 76
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\media\VideoPlayer.vue", "vue", 0, 0, 0, 0, 0, 752, 0, 18, 59, 829
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\ui\Button.vue", "vue", 0, 0, 0, 0, 0, 63, 0, 0, 5, 68
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\ui\Input.vue", "vue", 0, 0, 0, 0, 0, 53, 0, 0, 5, 58
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\ui\Modal.vue", "vue", 0, 0, 0, 0, 0, 109, 0, 5, 10, 124
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\ui\Select.vue", "vue", 0, 0, 0, 0, 0, 77, 0, 0, 6, 83
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\ui\Skeleton.vue", "vue", 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\composables\useAuth.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 1, 9, 89
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\composables\useI18n.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\composables\useTrpc.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\layouts\auth.vue", "vue", 0, 0, 0, 0, 0, 24, 0, 3, 4, 31
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\layouts\default.vue", "vue", 0, 0, 0, 0, 0, 21, 0, 3, 4, 28
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\locales\en.ts", "TypeScript", 382, 0, 0, 0, 0, 0, 0, 24, 24, 430
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\locales\fr.ts", "TypeScript", 382, 0, 0, 0, 0, 0, 0, 24, 24, 430
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\middleware\admin.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\middleware\auth.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\middleware\guest.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\admin\index.vue", "vue", 0, 0, 0, 0, 0, 123, 0, 3, 8, 134
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\admin\library.vue", "vue", 0, 0, 0, 0, 0, 198, 0, 6, 22, 226
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\admin\settings.vue", "vue", 0, 0, 0, 0, 0, 151, 0, 7, 21, 179
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\admin\users.vue", "vue", 0, 0, 0, 0, 0, 283, 0, 4, 28, 315
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\catalog\index.vue", "vue", 0, 0, 0, 0, 0, 187, 0, 8, 22, 217
